mode,rep,client,server,stream_idx,gbps
per-pair,3,srv02,st02,7,14.347921791407705
per-pair,3,srv02,st02,8,13.321197789891015
per-pair,1,srv02,st03,1,13.414385093318632
per-pair,1,srv02,st03,2,12.89861927683147
per-pair,1,srv02,st03,3,11.884664164850005
per-pair,1,srv02,st03,4,13.09827859397107
per-pair,1,srv02,st03,5,16.665932251786078
per-pair,1,srv02,st03,6,13.799425807984441
per-pair,1,srv02,st03,7,14.254064827252844
per-pair,1,srv02,st03,8,15.226475037886788
per-pair,2,srv02,st03,1,15.593678547821561
per-pair,2,srv02,st03,2,12.743053464030371
per-pair,2,srv02,st03,3,15.037193679902481
per-pair,2,srv02,st03,4,12.870729975730137
per-pair,2,srv02,st03,5,12.792379947180299
per-pair,2,srv02,st03,6,15.51219591622314
per-pair,2,srv02,st03,7,15.264340168739045
per-pair,2,srv02,st03,8,15.18124099163438
per-pair,3,srv02,st03,1,12.955817117363962
per-pair,3,srv02,st03,2,14.544098762074094
per-pair,3,srv02,st03,3,14.338229575955877
per-pair,3,srv02,st03,4,12.263983930763082
per-pair,3,srv02,st03,5,12.20500188465536
per-pair,3,srv02,st03,6,14.62619303217514
per-pair,3,srv02,st03,7,12.693591678449929
per-pair,3,srv02,st03,8,12.84921689936527
per-pair,1,srv02,st04,1,13.032975699784805
per-pair,1,srv02,st04,2,15.520663062533577
per-pair,1,srv02,st04,3,13.444316393361147
per-pair,1,srv02,st04,4,13.909579771619423
per-pair,1,srv02,st04,5,13.56665386652423
per-pair,1,srv02,st04,6,13.3564593794032
per-pair,1,srv02,st04,7,14.733930131835512
per-pair,1,srv02,st04,8,13.352134030364544
per-pair,2,srv02,st04,1,12.798908658969953
per-pair,2,srv02,st04,2,13.842845505683778
per-pair,2,srv02,st04,3,15.096059053484035
per-pair,2,srv02,st04,4,13.46745815375588
per-pair,2,srv02,st04,5,13.310740924779465
per-pair,2,srv02,st04,6,13.680273771917053
per-pair,2,srv02,st04,7,13.707912277367424
per-pair,2,srv02,st04,8,11.87136286271422
per-pair,3,srv02,st04,1,13.472973721174727
per-pair,3,srv02,st04,2,11.938315787580727
per-pair,3,srv02,st04,3,13.6850453948542
per-pair,3,srv02,st04,4,13.008150535463288
per-pair,3,srv02,st04,5,13.09514186415369
per-pair,3,srv02,st04,6,13.640512090984922
per-pair,3,srv02,st04,7,13.278290701414582
per-pair,3,srv02,st04,8,13.633796924885923
per-pair,1,srv02,st05,1,13.191147678622226
per-pair,1,srv02,st05,2,15.804796974735932
per-pair,1,srv02,st05,3,12.901903881439559
per-pair,1,srv02,st05,4,13.99879598180783
per-pair,1,srv02,st05,5,17.123330659791858
per-pair,1,srv02,st05,6,13.090441222342896
per-pair,1,srv02,st05,7,13.267999156537776
per-pair,1,srv02,st05,8,12.777093411308035
per-pair,2,srv02,st05,1,12.636085217016653
per-pair,2,srv02,st05,2,11.509131908136405
per-pair,2,srv02,st05,3,12.435938938503028
per-pair,2,srv02,st05,4,13.222438228459557
per-pair,2,srv02,st05,5,14.503636554075126
per-pair,2,srv02,st05,6,12.34890741988283
per-pair,2,srv02,st05,7,14.453960431248232
