client,server,condition,mean_rtt_ms,std_rtt_ms,worst_max_ms,mean_p95_ms,mean_p99_ms,max_packet_loss,n_reps
srv02,st02,50pct,0.040845333333333324,0.0045512131715986885,0.213,0.06638333333333335,0.1013733333333333,0.0,3
srv02,st02,idle,0.05255199999999999,0.004590822584243481,0.701,0.06768333333333333,0.07802666666666663,0.0,3
srv02,st03,100pct,0.04925666666666665,0.010271668673264992,0.374,0.0944,0.14498666666666638,0.0,3
srv02,st03,50pct,0.04194933333333332,0.0037466344008100527,0.16,0.06401666666666667,0.09536666666666664,0.0,3
srv02,st03,idle,0.05752333333333332,0.007585477001041748,0.253,0.08171666666666667,0.09270666666666662,0.0,3
srv02,st04,100pct,0.07577466666666666,0.022960646535612465,0.834,0.18071666666666672,0.26610666666666655,0.0,3
srv02,st04,50pct,0.04303199999999999,0.0038687336429379564,0.338,0.06905000000000001,0.12037333333333329,0.0,3
srv02,st04,idle,0.048076666666666656,0.004192531136835276,0.239,0.06436666666666668,0.07433666666666666,0.0,3
srv02,st05,100pct,0.05680599999999999,0.00838857532600142,0.412,0.10636666666666668,0.17073999999999992,0.0,3
srv02,st05,50pct,0.04467333333333332,0.013045980428213642,0.376,0.0747,0.10539999999999995,0.0,3
srv02,st05,idle,0.057782,0.001995602164761305,0.158,0.08606666666666668,0.10334666666666666,0.0,3
srv02,st06,100pct,0.08682799999999997,0.035135190564446916,1.37,0.20816666666666672,0.2950666666666666,0.0,3
srv02,st06,50pct,0.03942066666666666,0.002719673754944402,0.439,0.05903333333333335,0.0823633333333333,0.0,3
srv02,st06,idle,0.05132933333333334,0.0038256070542246447,0.268,0.07703333333333334,0.0910333333333333,0.0,3
srv02,st07,100pct,0.047583999999999994,0.0026829781959606057,0.476,0.07935000000000002,0.10602333333333332,0.0,3
srv02,st07,50pct,0.04458199999999999,0.0057960707380086424,0.292,0.07268333333333334,0.10702666666666664,0.0,3
srv02,st07,idle,0.05966199999999999,0.003982531355808765,0.269,0.08835,0.10102999999999997,0.0,3
srv02,st08,100pct,0.07796066666666668,0.03055824663381938,1.68,0.1920666666666667,0.6342766666666664,0.0,3
srv02,st08,50pct,0.04402866666666666,0.0028517730157453566,0.393,0.07336666666666669,0.11667999999999999,0.0,3
srv02,st08,idle,0.04787466666666667,0.0009048808393005888,0.236,0.06333333333333334,0.07168999999999998,0.0,3
srv03,st01,100pct,0.054378666666666665,0.004916691706150927,0.794,0.10136666666666667,0.14870666666666663,0.0,3
srv03,st01,50pct,0.04095666666666667,0.003800714845043403,0.16,0.06306666666666667,0.08307666666666659,0.0,3
srv03,st01,idle,0.054391999999999996,0.0035523310656525205,0.179,0.08800000000000001,0.10300666666666665,0.0,3
srv03,st02,100pct,0.057462666666666655,0.003339490579913849,0.495,0.12708333333333335,0.19380666666666654,0.0,3
srv03,st02,50pct,0.04337733333333333,0.005013543789908815,0.233,0.07168333333333334,0.10505999999999993,0.0,3
srv03,st02,idle,0.04972133333333334,0.004998163396021916,0.257,0.065,0.07768666666666664,0.0,3
srv03,st03,100pct,0.06500133333333334,0.002766838870142842,2.1,0.1334,0.20632333333333305,0.0,3
srv03,st03,50pct,0.043947999999999994,0.00484867487051875,0.255,0.06305000000000002,0.08738666666666661,0.0,3
srv03,st03,idle,0.05662799999999999,0.001683315775485991,0.27,0.0857,0.10168666666666665,0.0,3
srv03,st04,100pct,0.053305333333333337,0.006997351594234298,0.818,0.09006666666666668,0.1633866666666666,0.0,3
srv03,st04,50pct,0.06340133333333332,0.025393838806555675,0.504,0.14005000000000004,0.19811999999999988,0.0,3
srv03,st04,idle,0.047296,0.0032421110406647114,0.132,0.066,0.07635999999999997,0.0,3
srv03,st05,100pct,0.07753466666666667,0.021949659617710105,2.57,0.19091666666666673,0.6141733333333329,0.0,3
srv03,st05,50pct,0.058883333333333336,0.0255452056036614,0.498,0.12440000000000001,0.19109333333333323,0.0,3
srv03,st05,idle,0.05545533333333333,0.001456648665029881,0.838,0.08201666666666667,0.09909999999999991,0.0,3
srv03,st06,100pct,0.10503,0.050274465606309535,2.5,0.43163333333333354,0.8262166666666658,0.0,3
srv03,st06,50pct,0.051927333333333325,0.001891327928555319,0.323,0.08806666666666668,0.12869,0.0,3
srv03,st06,idle,0.04711133333333333,0.00085435667805275,0.247,0.06435,0.07734333333333333,0.0,3
srv03,st07,100pct,0.06894666666666667,0.01957707049926861,1.51,0.14341666666666666,0.3027733333333332,0.0,3
srv03,st07,50pct,0.04516133333333333,0.00924814907607643,0.223,0.0717,0.09472999999999994,0.0,3
srv03,st07,idle,0.05687933333333333,0.0002925838911036141,0.263,0.08368333333333335,0.10167333333333332,0.0,3
srv03,st08,100pct,0.06277866666666666,0.006381435993045236,1.85,0.11805000000000003,0.24066999999999972,0.0,3
srv03,st08,50pct,0.04563999999999999,0.004007233958730134,1.31,0.06605000000000001,0.09611333333333323,0.0,3
srv03,st08,idle,0.043848666666666654,0.002002834324983811,0.282,0.06135000000000001,0.0717033333333333,0.0,3
