epoch,qualifier,size_str,rep,host,n_hosts,n_clients,concurrency,total_requests,total_errors,throughput_mibs,throughput_gbps,ops_per_sec,duration_s,total_bytes,total_ops,n_segments,seg_median_mibs,seg_p10_mibs,seg_p90_mibs,seg_min_mibs,seg_max_mibs,seg_std_mibs,ttfb_avg_ms,ttfb_median_ms,ttfb_p99_ms,experiment,operation,rate,size_bytes,excluded
1774487390,get_single,4MiB,1,srv01,1,1,32,762384,0,10166.016086061465,85.2787238676639,2541.51677852349,298.0,3.17663246407048e12,757372,298,10172.117859840393,10054.087256813049,10262.495627307891,9931.669083595276,10402.209230422974,79.28543949932461,2.921366225806452,2.768879451612903,5.808311000000001,single,GET,100gbps,4194304,false
1774488139,get_single,64MiB,1,srv01,1,1,32,43149,0,9007.819891268424,75.56307000245343,140.6983606557377,305.0,2.880842043843537e12,42913,305,9132.39396572113,8980.376337051392,9559.423048400879,2.8411808013916016,9952.13464641571,1310.2925377789038,3.2637361290322584,3.127847,5.272797903225806,single,GET,100gbps,67108864,false
1774488916,get_single,512MiB,1,srv01,1,1,32,6146,0,10467.706029612444,87.80948254165519,20.426174496644297,298.0,3.270903224676656e12,6087,298,10475.818298339844,10155.81229171753,10748.440811729432,9818.589025497437,11271.410507202148,236.54457496175658,4.2019962903225805,4.009205774193549,8.213467193548388,single,GET,100gbps,536870912,false
1774489834,get_single,2GiB,1,srv01,1,1,32,1548,0,10483.316497461019,87.94043263713348,5.053333333333334,300.0,3.2977662238925054e12,1516,300,10475.5516872406,10278.446981430054,10674.077219867706,9611.115651130676,12370.032223701477,219.40836781806968,6.1096033,5.946726933333334,9.378871433333332,single,GET,100gbps,2147483648,false
1774491280,get_single,4MiB,2,srv01,1,1,32,722140,0,9625.46481277019,80.74425113212251,2406.3691275167785,298.0,3.0077233546715635e12,717098,298,9542.831450939178,9216.226205921173,10090.633171176909,8945.689721107483,10287.987532615662,340.4179765071157,2.9395537096774196,2.7869814838709686,5.687688903225806,single,GET,100gbps,4194304,false
1774492024,get_single,64MiB,2,srv01,1,1,32,50224,0,10711.533080118248,89.85485208814458,167.36912751677852,298.0,3.3470932402833853e12,49876,298,10711.74181318283,10613.529534244537,10818.728634929657,10493.434021949768,10981.096514701843,82.58621746423174,3.26726770967742,3.1010310645161288,4.921355161290323,single,GET,100gbps,67108864,false
1774492790,get_single,512MiB,2,srv01,1,1,32,6254,0,10643.06871644363,89.28053137930875,20.78523489932886,298.0,3.3256997938792515e12,6194,298,10666.125965595245,10347.773137378692,10922.240716838838,10009.913966178894,11246.995650291443,224.36422725985955,4.255506032258064,4.049133709677419,8.443842129032257,single,GET,100gbps,536870912,false
1774493716,get_single,2GiB,2,srv01,1,1,32,1556,0,10540.644982416788,88.42133882466133,5.06312292358804,301.0,3.326852873277883e12,1524,301,10545.025318145752,10296.28609752655,10752.928252220154,8355.538046836853,12640.415046691895,269.3939136944429,6.645910967741934,6.064938064516128,22.719499967741935,single,GET,100gbps,2147483648,false
1774495173,get_single,4MiB,3,srv01,1,1,32,757579,0,10105.10757559534,84.76778624949968,2526.2852348993288,298.0,3.1576000377938633e12,752833,298,10100.560445308685,10002.566218948363,10213.647824954987,9913.882266998291,10342.614914894104,80.52267619311858,2.939519096774193,2.7802448387096774,5.786499096774195,single,GET,100gbps,4194304,false
1774495916,get_single,64MiB,3,srv01,1,1,32,48468,0,10336.39611568919,86.70797514723925,161.51006711409397,298.0,3.2298720742346626e12,48130,298,10377.739560604095,10205.040908050538,10515.010295295715,7723.271751403809,10707.12342262268,319.5652919631074,3.4158631612903223,3.1497735161290317,5.604233741935482,single,GET,100gbps,67108864,false
1774496681,get_single,512MiB,3,srv01,1,1,32,6003,0,10221.590377227265,85.74491481113165,19.973154362416107,298.0,3.1939980767146543e12,5952,298,10231.365023612976,9949.331991672516,10502.656412029266,9405.72092628479,10845.521094322205,221.65102538380688,4.393548677419355,4.060856258064516,14.345239741935485,single,GET,100gbps,536870912,false
1774497602,get_single,2GiB,3,srv01,1,1,32,1331,0,8969.882600080167,75.24482893809329,4.301324503311259,302.0,2.840492292413022e12,1299,302,9002.070486545563,8816.282983398438,9200.03636865616,2856.580491065979,10850.613130569458,522.9574001188228,6.057901322580646,5.940556612903227,8.85601370967742,single,GET,100gbps,2147483648,false
1778199404,put_distributed,4MiB,1,srv01,8,2,64,2000110,0,13244.204137059594,111.10043677777121,3311.0499168053243,601.0,8.3464203129300625e12,1989941,597,13404.653982162476,13139.433510780334,13576.134808349609,11537.695777893066,13700.286015510559,329.6098977184096,,,,distributed,PUT,100gbps,4194304,false
1778200260,put_distributed,64MiB,1,srv01,8,2,64,150542,0,15958.229285461282,133.8673298498548,249.34442595673877,601.0,1.0056783154970342e13,149856,597,16050.401635169983,14503.898381614687,17709.86951236725,11515.57772064209,18627.983359336853,1241.508431187368,,,,distributed,PUT,100gbps,67108864,false
1778200951,put_distributed,512MiB,1,srv01,8,2,64,18765,0,15869.541162905945,133.12335995548213,30.99004975124378,603.0,1.0034173256644465e13,18687,598,15951.839914798737,15061.847549057007,17187.068510437013,11838.691843032837,18747.47458076477,967.8089144055549,,,,distributed,PUT,100gbps,536870912,false
1778201633,put_distributed,2GiB,1,srv01,8,2,64,4850,0,16328.703944817746,136.9750965411297,7.897689768976898,606.0,1.0375863562990574e13,4786,600,16257.320405006409,15334.349032878876,18066.821728515624,14399.312470436096,19018.285221099854,1065.7197584460475,,,,distributed,PUT,100gbps,2147483648,false
1778202318,put_distributed,4MiB,2,srv01,8,2,64,2001983,0,13256.962759033244,111.20746385612834,3314.2362728785356,601.0,8.354460722191642e12,1991856,597,13428.785987854004,12930.239157485961,13604.969513511658,12005.522135734558,13741.758262634277,281.89803359941,,,,distributed,PUT,100gbps,4194304,false
