epoch,rep,client,server,sent_gbps,recv_gbps,retransmits,duration_s,n_intervals,n_streams,mean_gbps,std_gbps,cv_pct,min_gbps,max_gbps,p10_gbps,p90_gbps,stream_cv_pct,host_cpu_total,host_cpu_user,host_cpu_system,remote_cpu_total,tcp_cc,mode
1775023142,2,srv01,st03,16.300699379239653,16.30061292269703,3,120.001383,120,8,16.30057259822066,2.8520637740855466,17.496709130309153,13.046841557202058,23.039235623865622,13.774651496309843,20.911451653833335,75.48210834711226,24.35873593705017,0.6661258378472925,23.6926109324351,42.03955252846596,bbr,app-outbound
1775023142,2,srv01,st04,16.385666774265072,16.38552628063173,0,120.001776,120,8,16.38550202725356,4.095232304986912,24.99302308940809,3.376322503949004,20.806995768745345,11.34223279410011,19.538923488614845,56.08375161164548,24.12555559145174,0.7220312961029443,23.403522628773384,45.02212425607803,bbr,app-outbound
1775023142,2,srv01,st05,22.04329856571767,22.043166641640557,0,120.001269,120,8,22.04301394807525,2.601953897846221,11.803984264472229,19.00281856,30.22199622537412,20.055153713408483,26.831109127649277,78.39672841787278,35.4407315161203,0.9731025383795633,34.467628144444475,54.17687179499957,bbr,app-outbound
1775023142,2,srv01,st06,20.092987124787264,20.092790024502666,0,120.000658,120,8,20.09272662696321,4.665985778004563,23.22226278509705,3.440773202961152,24.55139903968354,15.321099615016257,23.714029841500135,94.16510411809863,31.507584758140634,0.925941696750734,30.58164139480567,53.647801919778516,bbr,app-outbound
1775023142,2,srv01,st07,31.061656578803806,31.061521728771936,1,120.002127,120,8,31.061459659733128,7.345867428840847,23.649459842879647,3.516281367908433,36.65904485455369,23.035894885926172,35.11121847933323,67.816944806727,47.98278192641416,1.2648250229291966,46.71795690348497,77.60815546837625,bbr,app-outbound
1775023142,2,srv01,st08,14.164040658077866,14.163599669470736,0,120.000754,120,8,14.163949443846946,4.51809653039283,31.89856436797412,3.6341330863422017,18.7793957569335,4.970868675218062,17.71542814623692,58.64351855086242,20.74879819708962,0.632849559791443,20.11594697084991,36.86591790990263,bbr,app-outbound
1775023328,2,srv02,st01,17.24662713930823,17.246642576445144,0,120.001408,120,8,17.246464819084544,1.3331611068453768,7.730054366678853,14.191854088073907,20.350838617124545,15.484930797769804,19.03422751245516,79.94717774284526,26.990854355713484,0.760038220443791,26.2308169685691,46.26934179932642,bbr,app-outbound
1775023328,2,srv02,st02,18.82033196996775,18.82025796541858,0,120.001807,120,8,18.820109132284763,1.3946174267342217,7.41025153962492,17.01896348846366,30.41903506884146,17.721887188793122,19.92108708070863,63.18913586331656,28.377738618986825,0.8646046055104568,27.5131331801924,49.0043397062001,bbr,app-outbound
1775023328,2,srv02,st03,26.33360667513484,26.333504292669954,0,120.000692,120,8,26.333310692269144,1.103979786784882,4.1923319087599005,23.430226580610256,29.50216104788013,24.826319207976567,27.534983300183615,84.63546310307534,46.9362738684966,1.2006023827523689,45.73567148574424,65.88825378222353,bbr,app-outbound
1775023328,2,srv02,st04,10.207806340138866,10.2077218118208,0,120.000747,120,8,10.207741990620894,0.7876478979934428,7.7161814896688385,8.50714830162081,12.84409533838814,9.472473544511244,11.546203074515663,77.77930718148508,14.339121257984017,0.4140290280043541,13.925092229979663,27.77583608227389,bbr,app-outbound
1775023328,2,srv02,st05,17.26252649188759,17.262408076409887,0,120.001283,120,8,17.262374185680645,2.2497245217835946,13.032532475456183,11.27850631254632,20.456483501703364,15.028702549884203,19.80445537883102,73.99515610494232,27.549493652974487,0.7674849489075694,26.782007037479982,46.70480665311344,bbr,app-outbound
1775023328,2,srv02,st06,36.611658424333605,36.61152822161343,0,120.001581,120,8,36.61135505925548,4.09451704260468,11.18373530828811,24.622781472169148,43.08957053248946,31.83919448149063,41.338246560408976,82.97152568708813,61.61889799326291,1.5433179729415984,60.0755800203213,93.2449552340282,bbr,app-outbound
1775023328,2,srv02,st07,28.67230866465955,28.672172678652576,0,120.001195,120,8,28.671800086316708,3.3171192705175603,11.569274550364273,22.849951290500375,36.48672093478266,24.46766522935976,33.35314524753052,86.76256933022809,51.014657416790186,1.132309381247887,49.882347202251125,70.6459118708447,bbr,app-outbound
1775023328,2,srv02,st08,10.397311640542165,10.397172859068151,0,120.001524,120,8,10.397168174500727,0.9096157312336833,8.74868729607101,9.244125495723454,18.028220644084648,9.584660395758544,10.973315597420822,58.36115594584634,13.456128478013921,0.4712640208966698,12.98486445711725,28.0090719778307,bbr,app-outbound
