client,server,condition,repetition,n_pings,mean_ms,std_ms,min_ms,max_ms,p50_ms,p95_ms,p99_ms,mdev_ms,packet_loss
srv01,st08,50pct,3,500,0.048012,0.021653767045355158,0.028,0.193,0.04,0.092,0.14201999999999998,0.021,0.0
srv01,st08,100pct,1,500,0.08274399999999998,0.11167427973131064,0.03,1.5,0.051,0.19570000000000015,0.3912999999999979,0.111,0.0
srv01,st08,100pct,2,500,0.05207599999999999,0.04221196422636236,0.028,0.628,0.042,0.10105000000000001,0.16207999999999992,0.042,0.0
srv01,st08,100pct,3,500,0.056258,0.07489580896419239,0.027,1.33,0.045,0.10415000000000003,0.21001999999999996,0.074,0.0
srv02,st01,idle,1,500,0.060750000000000005,0.012126896686559715,0.038,0.128,0.058,0.08310000000000002,0.09801999999999998,0.012,0.0
srv02,st01,idle,2,500,0.053441999999999996,0.0140256934285726,0.029,0.109,0.05,0.08205000000000001,0.10200999999999998,0.014,0.0
srv02,st01,idle,3,500,0.053562000000000005,0.013741463227154761,0.031,0.247,0.052,0.07305,0.08600999999999998,0.013,0.0
srv02,st01,50pct,1,500,0.03382999999999999,0.01529001861799643,0.025,0.331,0.031,0.048,0.06003999999999996,0.015,0.0
srv02,st01,50pct,2,500,0.04334999999999999,0.01441065000849492,0.029,0.177,0.04,0.06610000000000003,0.09803999999999997,0.014,0.0
srv02,st01,50pct,3,500,0.049094000000000006,0.01957179793859262,0.029,0.177,0.044,0.08505000000000003,0.13502999999999998,0.019,0.0
srv02,st01,100pct,1,500,0.105864,0.07658485479497847,0.031,0.513,0.079,0.257,0.4041599999999999,0.076,0.0
srv02,st01,100pct,2,500,0.059838,0.038278639794656476,0.031,0.628,0.05,0.117,0.17313999999999985,0.038,0.0
srv02,st01,100pct,3,500,0.10719399999999998,0.07561817626181107,0.033,0.459,0.08,0.277,0.363,0.075,0.0
srv02,st02,idle,1,500,0.04742999999999999,0.012623779926760389,0.03,0.245,0.045,0.065,0.07506999999999993,0.012,0.0
srv02,st02,idle,2,500,0.05392999999999999,0.03337551422674712,0.029,0.701,0.052,0.06805000000000001,0.081,0.033,0.0
srv02,st02,idle,3,500,0.05629599999999999,0.008261045560187584,0.029,0.096,0.057,0.07,0.07800999999999998,0.008,0.0
srv02,st02,50pct,1,500,0.046028,0.012893397356429435,0.026,0.128,0.044,0.069,0.09406999999999993,0.012,0.0
srv02,st02,50pct,2,500,0.03900799999999998,0.014783404008148338,0.022,0.117,0.036,0.06810000000000002,0.10700999999999998,0.014,0.0
